date,year,month,month_name,quarter,total_ev_sales,tesla_sales,other_premium_sales,mass_market_sales,market_share_percent,avg_price,incentives_total
2019-01-01,2019,1,January,Q1,5027,2889,885,1372,2.2,42578,6483
2019-02-01,2019,2,February,Q1,4354,2226,849,548,1.5,43135,5676
2019-03-01,2019,3,March,Q1,5353,3358,712,1385,1.9,50693,7518
2019-04-01,2019,4,April,Q2,4972,2731,960,1223,2.9,44810,11067
2019-05-01,2019,5,May,Q2,5087,2721,745,1255,2.7,52965,11171
2019-06-01,2019,6,June,Q2,4622,3203,797,544,1.5,53253,10285
2019-07-01,2019,7,July,Q3,4896,2792,810,994,2.2,53162,10656
2019-08-01,2019,8,August,Q3,4776,2925,912,917,1.5,52188,5386
2019-09-01,2019,9,September,Q3,4861,2808,804,1265,1.1,47213,6714
2019-10-01,2019,10,October,Q4,4656,2828,566,1221,1.7,51282,9664
2019-11-01,2019,11,November,Q4,4909,2952,951,548,2.2,44178,10107
2019-12-01,2019,12,December,Q4,5880,3536,627,1716,2.8,51927,11551
2020-01-01,2020,1,January,Q1,4074,2824,769,1073,4.2,53532,11870
2020-02-01,2020,2,February,Q1,4672,2346,663,1193,5.9,48750,6691
2020-03-01,2020,3,March,Q1,4366,2446,759,1290,5.5,55390,9716
2020-04-01,2020,4,April,Q2,4608,2378,521,737,5.9,48217,8409
2020-05-01,2020,5,May,Q2,4657,2706,931,1117,6.0,46494,10051
2020-06-01,2020,6,June,Q2,4910,3280,833,1011,4.8,49867,7433
2020-07-01,2020,7,July,Q3,5071,2647,695,1189,2.2,56521,9653
2020-08-01,2020,8,August,Q3,4207,2249,640,1225,7.3,51396,11411
2020-09-01,2020,9,September,Q3,5004,3333,680,583,3.7,36977,7568
2020-10-01,2020,10,October,Q4,5541,3863,764,1306,5.6,42136,6742
2020-11-01,2020,11,November,Q4,5232,3262,900,1546,2.8,49694,5913
2020-12-01,2020,12,December,Q4,5228,2779,884,998,3.0,56387,7707
2021-01-01,2021,1,January,Q1,6205,3476,910,1819,4.0,47275,11420
2021-02-01,2021,2,February,Q1,5715,3180,761,1478,6.6,45800,8025
2021-03-01,2021,3,March,Q1,5917,3080,758,835,5.1,52273,5737
2021-04-01,2021,4,April,Q2,6880,4338,1318,840,4.0,46853,8625
2021-05-01,2021,5,May,Q2,5631,3252,985,1057,5.0,53198,5568
2021-06-01,2021,6,June,Q2,5435,3626,773,1524,7.6,48897,10821
2021-07-01,2021,7,July,Q3,5630,3860,689,852,2.4,51824,5053
2021-08-01,2021,8,August,Q3,4879,3303,957,1157,5.3,45160,6826
2021-09-01,2021,9,September,Q3,6065,4169,805,1301,2.8,53424,6797
2021-10-01,2021,10,October,Q4,4602,2949,549,822,7.3,38371,11875
2021-11-01,2021,11,November,Q4,5609,3080,562,1256,2.5,49842,11507
2021-12-01,2021,12,December,Q4,4609,3082,729,959,4.5,44238,9087
2022-01-01,2022,1,January,Q1,5527,3219,641,629,5.1,51939,10874
2022-02-01,2022,2,February,Q1,5570,3451,828,1659,7.2,46824,10613
2022-03-01,2022,3,March,Q1,5291,3109,981,972,5.7,39055,6171
2022-04-01,2022,4,April,Q2,6813,3927,1053,1873,4.9,44712,5327
2022-05-01,2022,5,May,Q2,6239,3375,1198,1178,3.3,49619,9681
2022-06-01,2022,6,June,Q2,6148,3861,1206,879,3.8,59051,5567
2022-07-01,2022,7,July,Q3,5963,3578,948,878,7.7,55120,10008
2022-08-01,2022,8,August,Q3,5908,4086,654,831,7.4,45393,5861
2022-09-01,2022,9,September,Q3,5313,2993,919,727,3.1,47796,5651
2022-10-01,2022,10,October,Q4,5502,3629,1096,647,6.8,48054,6380
2022-11-01,2022,11,November,Q4,5950,3802,1144,1536,5.2,47735,6830
2022-12-01,2022,12,December,Q4,6530,4281,1199,808,6.2,46769,5517
2023-01-01,2023,1,January,Q1,6039,4044,1053,1658,3.8,56434,6165
2023-02-01,2023,2,February,Q1,8194,5043,1071,826,3.8,37163,10415
