date,year,month,month_name,quarter,total_ev_sales,tesla_sales,other_premium_sales,mass_market_sales,market_share_percent,avg_price,incentives_total
2019-01-01,2019,1,January,Q1,5911,3735,814,1560,2.9,52281,7417
2019-02-01,2019,2,February,Q1,5286,3223,854,1519,1.9,44053,6436
2019-03-01,2019,3,March,Q1,5368,2835,996,889,1.4,54316,7591
2019-04-01,2019,4,April,Q2,5270,2930,895,973,1.8,50278,5057
2019-05-01,2019,5,May,Q2,6258,3328,888,1144,1.4,58757,10369
2019-06-01,2019,6,June,Q2,4656,2439,473,586,1.2,53650,5131
2019-07-01,2019,7,July,Q3,4335,2246,593,587,1.3,54534,8124
2019-08-01,2019,8,August,Q3,4961,3076,679,1113,2.6,44876,7431
2019-09-01,2019,9,September,Q3,5772,3004,1031,678,1.9,43744,11914
2019-10-01,2019,10,October,Q4,5046,2605,523,1476,1.3,45845,11220
2019-11-01,2019,11,November,Q4,4379,2802,524,781,1.2,39514,6013
2019-12-01,2019,12,December,Q4,4683,3180,844,501,2.8,43960,5901
2020-01-01,2020,1,January,Q1,3316,1767,369,745,6.5,51967,5154
2020-02-01,2020,2,February,Q1,4643,3027,691,711,4.5,54532,7596
2020-03-01,2020,3,March,Q1,5029,3491,519,861,6.1,50312,8384
2020-04-01,2020,4,April,Q2,5163,3288,583,1206,7.4,43156,11657
2020-05-01,2020,5,May,Q2,4490,3132,746,1313,3.7,49957,10496
2020-06-01,2020,6,June,Q2,4757,2979,544,604,2.4,51970,6170
2020-07-01,2020,7,July,Q3,4230,2542,516,991,4.4,51317,9528
2020-08-01,2020,8,August,Q3,4518,2762,481,795,7.9,46786,8731
2020-09-01,2020,9,September,Q3,4959,2771,739,1000,3.5,56583,10431
2020-10-01,2020,10,October,Q4,3887,2368,396,1085,3.7,42097,11787
2020-11-01,2020,11,November,Q4,5003,2674,873,1324,4.6,50090,11852
2020-12-01,2020,12,December,Q4,5910,3042,601,1534,3.2,52419,11708
2021-01-01,2021,1,January,Q1,5557,3855,813,1294,4.3,48426,7342
2021-02-01,2021,2,February,Q1,6510,4555,662,879,4.9,49599,5464
2021-03-01,2021,3,March,Q1,6459,3455,1017,1127,4.2,48081,7702
2021-04-01,2021,4,April,Q2,6701,3639,1272,2009,7.0,45202,8075
2021-05-01,2021,5,May,Q2,5023,2558,861,824,6.5,40497,6890
2021-06-01,2021,6,June,Q2,6364,3681,1224,754,2.9,54936,6856
2021-07-01,2021,7,July,Q3,5171,3601,977,726,4.8,49336,7529
2021-08-01,2021,8,August,Q3,4215,2911,582,464,6.0,47392,9005
2021-09-01,2021,9,September,Q3,4679,2470,653,629,5.0,52071,10822
2021-10-01,2021,10,October,Q4,5343,2747,715,1157,7.9,49980,7752
2021-11-01,2021,11,November,Q4,5693,3909,735,774,6.9,55090,7853
2021-12-01,2021,12,December,Q4,6390,4163,985,937,3.9,51323,5725
2022-01-01,2022,1,January,Q1,6253,4024,673,633,5.6,46012,5487
2022-02-01,2022,2,February,Q1,6132,3231,944,1692,2.3,57314,8770
2022-03-01,2022,3,March,Q1,6521,3955,761,1171,4.7,53463,7547
2022-04-01,2022,4,April,Q2,7740,4239,919,2191,2.4,54175,10558
2022-05-01,2022,5,May,Q2,6293,4190,986,930,3.2,50041,11833
2022-06-01,2022,6,June,Q2,6567,3613,1203,862,7.2,45386,8683
2022-07-01,2022,7,July,Q3,5006,3457,672,1145,5.1,48452,9978
2022-08-01,2022,8,August,Q3,5723,3275,857,1110,2.5,55225,9676
2022-09-01,2022,9,September,Q3,5014,2932,635,1008,2.1,49828,11212
2022-10-01,2022,10,October,Q4,5620,2960,878,1360,4.4,52612,10484
2022-11-01,2022,11,November,Q4,5749,3093,613,607,4.0,52362,9046
2022-12-01,2022,12,December,Q4,5611,3862,927,1677,4.8,52189,5060
2023-01-01,2023,1,January,Q1,5714,3244,623,1541,4.8,51446,10417
2023-02-01,2023,2,February,Q1,7899,4628,953,869,3.2,56026,10776
2023-03-01,2023,3,March,Q1,5748,3390,905,1605,7.5,44980,5529
2023-04-01,2023,4,April,Q2,6297,3549,799,921,4.5,47860,8822
2023-05-01,2023,5,May,Q2,6762,4216,1193,1353,3.1,53962,11705
2023-06-01,2023,6,June,Q2,7899,4933,1194,1051,3.9,59961,9338
2023-07-01,2023,7,July,Q3,6038,3884,958,1573,4.3,48314,11241
2023-08-01,2023,8,August,Q3,7033,3934,844,1717,5.2,44030,9940
2023-09-01,2023,9,September,Q3,6368,4018,665,1038,2.9,54923,9412
2023-10-01,2023,10,October,Q4,5905,3914,1113,1057,2.0,47309,6447
2023-11-01,2023,11,November,Q4,6929,4519,729,1570,2.4,41499,10315
2023-12-01,2023,12,December,Q4,6037,3709,661,992,4.8,49025,9005
2024-01-01,2024,1,January,Q1,6730,4021,711,1070,7.0,44581,9339
2024-02-01,2024,2,February,Q1,5850,3513,865,1160,5.8,46393,8107
2024-03-01,2024,3,March,Q1,7683,5055,986,1573,6.3,44075,8076
2024-04-01,2024,4,April,Q2,7925,5060,1343,933,3.7,51833,7713
2024-05-01,2024,5,May,Q2,6157,4148,1044,817,7.2,46683,5017
2024-06-01,2024,6,June,Q2,6724,3916,973,1935,7.9,54658,9547
2024-07-01,2024,7,July,Q3,6057,3513,995,982,2.1,57599,8271
2024-08-01,2024,8,August,Q3,6342,3239,1263,1516,4.0,54164,9266
2024-09-01,2024,9,September,Q3,6036,4224,621,1737,7.5,57690,6827
2024-10-01,2024,10,October,Q4,6207,3285,1070,1009,6.8,43855,9646
2024-11-01,2024,11,November,Q4,5856,3665,1069,895,6.5,49790,10163
2024-12-01,2024,12,December,Q4,6279,4085,1143,737,5.2,47360,8299
2025-01-01,2025,1,January,Q1,6646,4170,1246,966,2.6,52093,10378
2025-02-01,2025,2,February,Q1,6075,3669,912,1085,6.9,52200,8179
2025-03-01,2025,3,March,Q1,7534,4580,1503,1025,2.0,49268,10458
2025-04-01,2025,4,April,Q2,7707,4092,1523,807,3.5,41807,9679
2025-05-01,2025,5,May,Q2,8148,5396,998,2361,2.5,52563,7121
2025-06-01,2025,6,June,Q2,7093,3657,1002,961,7.4,46256,7234
2025-07-01,2025,7,July,Q3,6215,3858,753,736,2.5,48299,6362
2025-08-01,2025,8,August,Q3,7183,4103,1248,1111,5.9,47956,9806
