year,make,model,drive_type,fuel_type,vehicle_class,engine_description,transmission,city_mpg,highway_mpg,combined_mpg,range_miles,battery_capacity_kwh,charge_time_240v,msrp_base,co2_emissions,ghg_score
2019,Tesla,Model 3,RWD,Electric,Midsize Cars,Electric Motor,Automatic (variable gear ratios),134,121,128,294,60.0,8.3,57009,0,10
2020,Tesla,Model 3,RWD,Electric,Midsize Cars,Electric Motor,Automatic (variable gear ratios),140,126,133,269,60.0,8.3,45714,0,10
2021,Tesla,Model 3,RWD,Electric,Midsize Cars,Electric Motor,Automatic (variable gear ratios),136,122,129,299,60.0,8.3,48886,0,10
2022,Tesla,Model 3,RWD,Electric,Midsize Cars,Electric Motor,Automatic (variable gear ratios),134,121,128,305,60.0,8.3,49718,0,10
2023,Tesla,Model 3,RWD,Electric,Midsize Cars,Electric Motor,Automatic (variable gear ratios),150,135,142,297,60.0,8.3,42966,0,10
2024,Tesla,Model 3,RWD,Electric,Midsize Cars,Electric Motor,Automatic (variable gear ratios),154,139,147,317,60.0,8.3,44362,0,10
2019,Tesla,Model Y,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),123,110,117,316,75.0,10.4,41784,0,10
2020,Tesla,Model Y,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),119,107,113,350,75.0,10.4,42393,0,10
2021,Tesla,Model Y,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),135,121,128,341,75.0,10.4,41738,0,10
2022,Tesla,Model Y,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),129,116,123,338,75.0,10.4,45653,0,10
2023,Tesla,Model Y,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),138,124,131,375,75.0,10.4,46701,0,10
2024,Tesla,Model Y,AWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),136,122,129,377,75.0,10.4,53000,0,10
2019,Ford,Mustang Mach-E,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),106,95,100,307,88.0,12.2,50574,0,10
2020,Ford,Mustang Mach-E,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),113,102,107,378,88.0,12.2,49044,0,10
2021,Ford,Mustang Mach-E,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),105,95,100,316,88.0,12.2,53116,0,10
2022,Ford,Mustang Mach-E,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),114,103,108,329,88.0,12.2,61158,0,10
2023,Ford,Mustang Mach-E,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),114,103,109,344,88.0,12.2,42001,0,10
2024,Ford,Mustang Mach-E,RWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),122,110,116,362,88.0,12.2,54492,0,10
2019,Chevrolet,Bolt EUV,FWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),119,107,113,232,65.0,9.0,50828,0,10
2020,Chevrolet,Bolt EUV,FWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),128,115,121,250,65.0,9.0,55919,0,10
2021,Chevrolet,Bolt EUV,FWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),122,110,116,259,65.0,9.0,48589,0,10
2022,Chevrolet,Bolt EUV,FWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),136,122,129,260,65.0,9.0,48899,0,10
2023,Chevrolet,Bolt EUV,FWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),134,121,127,281,65.0,9.0,50182,0,10
2024,Chevrolet,Bolt EUV,FWD,Electric,Small SUV,Electric Motor,Automatic (variable gear ratios),130,117,123,290,65.0,9.0,59433,0,10
